Municipality,Women,Men,Ethnicity,Year
Gevgelija,4,4,Roma,2017
Gostivar,130,290,Roma,2017
Debar,64,192,Roma,2017
Delchevo,42,50,Roma,2017
Demir Hisar,0,0,Roma,2017
Kavadarci,54,64,Roma,2017
Kichevo,97,226,Roma,2017
Kochani,84,176,Roma,2017
Kratovo,12,10,Roma,2017
Kriva Palanka,38,51,Roma,2017
Krushevo,1,5,Roma,2017
Kumanovo,128,280,Roma,2017
Makedonski Brod,0,0,Roma,2017
Negotino,8,21,Roma,2017
Ohrid,25,35,Roma,2017
Prilep,332,417,Roma,2017
Probishtip,1,2,Roma,2017
Radovish,10,2,Roma,2017
Resen,15,33,Roma,2017
Sveti Nikole,2,6,Roma,2017
Skopje,731,1113,Roma,2017
Struga,14,16,Roma,2017
Strumica,1,6,Roma,2017
Tetovo,76,168,Roma,2017
Shtip,115,124,Roma,2017
Berovo ,4,1,Serbian,2017
Bitola,7,5,Serbian,2017
Valandovo,7,19,Serbian,2017
Veles,0,7,Serbian,2017
Vinica,0,0,Serbian,2017
Gevgelija,7,10,Serbian,2017
Gostivar,2,2,Serbian,2017
Debar,0,0,Serbian,2017
Delchevo,0,0,Serbian,2017
Demir Hisar,1,0,Serbian,2017
Kavadarci,7,11,Serbian,2017
Kichevo,2,0,Serbian,2017
Kochani,2,0,Serbian,2017
Kratovo,0,0,Serbian,2017
Kriva Palanka,0,3,Serbian,2017
Krushevo,1,0,Serbian,2017
Kumanovo,191,277,Serbian,2017
Makedonski Brod,0,0,Serbian,2017
Negotino,4,3,Serbian,2017
Ohrid,8,2,Serbian,2017
Prilep,1,1,Serbian,2017
Probishtip,1,2,Serbian,2017
Radovish,1,2,Serbian,2017
Resen,1,9,Serbian,2017
Sveti Nikole,2,0,Serbian,2017
Skopje,61,90,Serbian,2017
Struga,2,3,Serbian,2017
Strumica,0,3,Serbian,2017
Tetovo,12,17,Serbian,2017
Shtip,2,3,Serbian,2017
Berovo ,0,0,Vlachs,2017
Bitola,6,11,Vlachs,2017
Valandovo,0,0,Vlachs,2017
Veles,3,0,Vlachs,2017
Vinica,0,2,Vlachs,2017
Gevgelija,0,1,Vlachs,2017
Gostivar,0,0,Vlachs,2017
Debar,0,0,Vlachs,2017
Delchevo,0,0,Vlachs,2017
Demir Hisar,0,0,Vlachs,2017
Kavadarci,1,1,Vlachs,2017
Kichevo,1,1,Vlachs,2017
Kochani,2,3,Vlachs,2017
Kratovo,0,0,Vlachs,2017
Kriva Palanka,1,0,Vlachs,2017
Krushevo,44,52,Vlachs,2017
Kumanovo,0,0,Vlachs,2017
Makedonski Brod,0,0,Vlachs,2017
Negotino,0,0,Vlachs,2017
Ohrid,0,0,Vlachs,2017
Prilep,1,0,Vlachs,2017
Probishtip,0,0,Vlachs,2017
Radovish,0,0,Vlachs,2017
Resen,0,0,Vlachs,2017
Sveti Nikole,4,3,Vlachs,2017
Skopje,9,8,Vlachs,2017
Struga,1,4,Vlachs,2017
Strumica,0,0,Vlachs,2017
Tetovo,0,0,Vlachs,2017
Shtip,34,48,Vlachs,2017
Berovo ,0,0,Bosniak,2017
Bitola,1,0,Bosniak,2017
Valandovo,0,0,Bosniak,2017
Veles,15,21,Bosniak,2017
Vinica,0,0,Bosniak,2017
Gevgelija,0,0,Bosniak,2017
Gostivar,0,0,Bosniak,2017
Debar,0,0,Bosniak,2017
Delchevo,0,0,Bosniak,2017
Demir Hisar,0,0,Bosniak,2017
Kavadarci,1,0,Bosniak,2017
Kichevo,0,1,Bosniak,2017
Kochani,0,0,Bosniak,2017
Kratovo,0,1,Bosniak,2017
Kriva Palanka,0,0,Bosniak,2017
Krushevo,5,2,Bosniak,2017
Kumanovo,0,0,Bosniak,2017
Makedonski Brod,0,0,Bosniak,2017
Negotino,0,0,Bosniak,2017
Ohrid,0,0,Bosniak,2017
Prilep,24,33,Bosniak,2017
Probishtip,0,0,Bosniak,2017
Radovish,0,0,Bosniak,2017
Resen,0,0,Bosniak,2017
Sveti Nikole,0,2,Bosniak,2017
Skopje,81,74,Bosniak,2017
Struga,1,1,Bosniak,2017
Strumica,0,0,Bosniak,2017
Tetovo,1,2,Bosniak,2017
Shtip,1,0,Bosniak,2017
Berovo ,1,1,Other,2017
Bitola,36,44,Other,2017
Valandovo,2,3,Other,2017
Veles,47,149,Other,2017
Vinica,0,3,Other,2017
Gevgelija,2,0,Other,2017
Gostivar,105,287,Other,2017
Debar,71,257,Other,2017
Delchevo,1,0,Other,2017
Demir Hisar,0,0,Other,2017
Kavadarci,9,5,Other,2017
Kichevo,14,38,Other,2017
Kochani,1,1,Other,2017
Kratovo,1,0,Other,2017
Kriva Palanka,6,1,Other,2017
Krushevo,6,10,Other,2017
Kumanovo,17,8,Other,2017
Makedonski Brod,0,0,Other,2017
Negotino,7,9,Other,2017
Ohrid,89,100,Other,2017
Prilep,22,30,Other,2017
Probishtip,3,1,Other,2017
Radovish,0,1,Other,2017
Resen,16,19,Other,2017
Sveti Nikole,2,1,Other,2017
Skopje,125,126,Other,2017
Struga,71,160,Other,2017
Strumica,2,2,Other,2017
Tetovo,13,38,Other,2017
Shtip,7,11,Other,2017
